p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,4,3,0.5928530435301596,10,1,0.059285304353015954,59.28530435301595
AMMONIA,GERMANY,4,4,2.074985720389138,35,1,0.05928530629683251,59.285306296832516
AMMONIA,GERMANY,4,5,2.134271075203873,36,1,0.059285307644552025,59.28530764455203
AMMONIA,GERMANY,4,6,0.8892795990514594,15,1,0.05928530660343063,59.28530660343063
AMMONIA,GERMANY,4,7,2.252841798943158,38,1,0.059285310498504155,59.28531049850415
AMMONIA,GERMANY,4,8,3.379262707730438,57,1,0.05928531066193751,59.285310661937515
AMMONIA,GERMANY,4,9,1.363562148571307,23,1,0.05928531080744813,59.28531080744813
AMMONIA,GERMANY,4,10,1.541417996396266,26,1,0.05928530755370254,59.28530755370254
AMMONIA,GERMANY,4,11,2.015700447116636,34,1,0.059285307268136356,59.28530726813636
AMMONIA,GERMANY,4,12,2.786409401496189,47,1,0.059285306414812534,59.28530641481253
AMMONIA,GERMANY,5,1,1.600703241216613,27,1,0.059285305230244924,59.28530523024492
AMMONIA,GERMANY,5,2,1.007850204015737,17,1,0.05928530611857277,59.28530611857277
AMMONIA,GERMANY,5,3,0.5928530435301179,10,1,0.05928530435301179,59.28530435301179
AMMONIA,GERMANY,5,4,2.074985720460313,35,1,0.05928530629886609,59.28530629886609
AMMONIA,GERMANY,5,5,2.134271075281614,36,1,0.0592853076467115,59.2853076467115
AMMONIA,GERMANY,5,6,0.8892795990813549,15,1,0.05928530660542366,59.285306605423656
AMMONIA,GERMANY,5,7,2.252841798933873,38,1,0.059285310498259816,59.28531049825982
AMMONIA,GERMANY,5,8,3.379262707799788,57,1,0.05928531066315417,59.28531066315417
AMMONIA,GERMANY,5,9,1.363562148586997,23,1,0.059285310808130307,59.285310808130305
AMMONIA,GERMANY,5,10,1.541417996378657,26,1,0.05928530755302527,59.28530755302527
AMMONIA,GERMANY,5,11,2.015700447050004,34,1,0.05928530726617659,59.28530726617659
AMMONIA,GERMANY,5,12,2.786409401410608,47,1,0.059285306412991665,59.285306412991666
AMMONIA,GERMANY,6,1,1.600703241189868,27,1,0.059285305229254376,59.28530522925438
