k,ct,n,h,td,p_pw
0,ELECTRICITY,GERMANY,12,2,11.03
0,ELECTRICITY,GERMANY,12,3,11.03
0,ELECTRICITY,GERMANY,12,4,11.03
0,ELECTRICITY,GERMANY,12,5,11.03
0,ELECTRICITY,GERMANY,12,6,11.03
0,ELECTRICITY,GERMANY,12,7,11.03
0,ELECTRICITY,GERMANY,12,8,11.03
0,ELECTRICITY,GERMANY,12,9,11.03
0,ELECTRICITY,GERMANY,12,10,11.03
0,ELECTRICITY,GERMANY,12,11,11.03
0,ELECTRICITY,GERMANY,12,12,11.03
0,ELECTRICITY,GERMANY,13,1,11.03
0,ELECTRICITY,GERMANY,13,2,11.03
0,ELECTRICITY,GERMANY,13,3,11.03
0,ELECTRICITY,GERMANY,13,4,11.03
0,ELECTRICITY,GERMANY,13,5,11.03
0,ELECTRICITY,GERMANY,13,6,11.03
0,ELECTRICITY,GERMANY,13,7,11.03
0,ELECTRICITY,GERMANY,13,8,11.03
0,ELECTRICITY,GERMANY,13,9,11.03
0,ELECTRICITY,GERMANY,13,10,11.03
0,ELECTRICITY,GERMANY,13,11,11.03
0,ELECTRICITY,GERMANY,13,12,11.03
0,ELECTRICITY,GERMANY,14,1,11.03
0,ELECTRICITY,GERMANY,14,2,11.03
0,ELECTRICITY,GERMANY,14,3,11.03
0,ELECTRICITY,GERMANY,14,4,11.03
0,ELECTRICITY,GERMANY,14,5,11.03
0,ELECTRICITY,GERMANY,14,6,11.03
0,ELECTRICITY,GERMANY,14,7,11.03
0,ELECTRICITY,GERMANY,14,8,11.03
0,ELECTRICITY,GERMANY,14,9,11.03
0,ELECTRICITY,GERMANY,14,10,11.03
0,ELECTRICITY,GERMANY,14,11,11.03
0,ELECTRICITY,GERMANY,14,12,11.03
0,ELECTRICITY,GERMANY,15,1,11.03
0,ELECTRICITY,GERMANY,15,2,11.03
0,ELECTRICITY,GERMANY,15,3,11.03
0,ELECTRICITY,GERMANY,15,4,11.03
0,ELECTRICITY,GERMANY,15,5,11.03
0,ELECTRICITY,GERMANY,15,6,11.03
0,ELECTRICITY,GERMANY,15,7,11.03
0,ELECTRICITY,GERMANY,15,8,11.03
0,ELECTRICITY,GERMANY,15,9,11.03
0,ELECTRICITY,GERMANY,15,10,11.03
0,ELECTRICITY,GERMANY,15,11,11.03
0,ELECTRICITY,GERMANY,15,12,11.03
0,ELECTRICITY,GERMANY,16,1,11.03
0,ELECTRICITY,GERMANY,16,2,11.03
0,ELECTRICITY,GERMANY,16,3,11.03
0,ELECTRICITY,GERMANY,16,4,11.03
0,ELECTRICITY,GERMANY,16,5,11.03
0,ELECTRICITY,GERMANY,16,6,11.03
0,ELECTRICITY,GERMANY,16,7,11.03
0,ELECTRICITY,GERMANY,16,8,11.03
0,ELECTRICITY,GERMANY,16,9,11.03
0,ELECTRICITY,GERMANY,16,10,11.03
0,ELECTRICITY,GERMANY,16,11,11.03
0,ELECTRICITY,GERMANY,16,12,11.03
0,ELECTRICITY,GERMANY,17,1,11.03
0,ELECTRICITY,GERMANY,17,2,11.03
0,ELECTRICITY,GERMANY,17,3,11.03
0,ELECTRICITY,GERMANY,17,4,11.03
0,ELECTRICITY,GERMANY,17,5,11.03
0,ELECTRICITY,GERMANY,17,6,11.03
0,ELECTRICITY,GERMANY,17,7,11.03
0,ELECTRICITY,GERMANY,17,8,11.03
0,ELECTRICITY,GERMANY,17,9,11.03
0,ELECTRICITY,GERMANY,17,10,11.03
0,ELECTRICITY,GERMANY,17,11,11.03
0,ELECTRICITY,GERMANY,17,12,11.03
0,ELECTRICITY,GERMANY,18,1,11.03
0,ELECTRICITY,GERMANY,18,2,11.03
0,ELECTRICITY,GERMANY,18,3,11.03
0,ELECTRICITY,GERMANY,18,4,11.03
0,ELECTRICITY,GERMANY,18,5,11.03
0,ELECTRICITY,GERMANY,18,6,11.03
0,ELECTRICITY,GERMANY,18,7,11.03
0,ELECTRICITY,GERMANY,18,8,11.03
0,ELECTRICITY,GERMANY,18,9,11.03
0,ELECTRICITY,GERMANY,18,10,11.03
0,ELECTRICITY,GERMANY,18,11,11.03
0,ELECTRICITY,GERMANY,18,12,11.03
0,ELECTRICITY,GERMANY,19,1,11.03
0,ELECTRICITY,GERMANY,19,2,11.03
0,ELECTRICITY,GERMANY,19,3,11.03
0,ELECTRICITY,GERMANY,19,4,11.03
0,ELECTRICITY,GERMANY,19,5,11.03
0,ELECTRICITY,GERMANY,19,6,11.03
0,ELECTRICITY,GERMANY,19,7,11.03
0,ELECTRICITY,GERMANY,19,8,11.03
0,ELECTRICITY,GERMANY,19,9,11.03
0,ELECTRICITY,GERMANY,19,10,11.03
0,ELECTRICITY,GERMANY,19,11,11.03
0,ELECTRICITY,GERMANY,19,12,11.03
0,ELECTRICITY,GERMANY,20,1,11.03
0,ELECTRICITY,GERMANY,20,2,11.03
0,ELECTRICITY,GERMANY,20,3,11.03
0,ELECTRICITY,GERMANY,20,4,11.03
0,ELECTRICITY,GERMANY,20,5,11.03
0,ELECTRICITY,GERMANY,20,6,11.03
0,ELECTRICITY,GERMANY,20,7,11.03
0,ELECTRICITY,GERMANY,20,8,11.03
0,ELECTRICITY,GERMANY,20,9,11.03
0,ELECTRICITY,GERMANY,20,10,11.03
0,ELECTRICITY,GERMANY,20,11,11.03
0,ELECTRICITY,GERMANY,20,12,11.03
0,ELECTRICITY,GERMANY,21,1,11.03
0,ELECTRICITY,GERMANY,21,2,11.03
0,ELECTRICITY,GERMANY,21,3,11.03
0,ELECTRICITY,GERMANY,21,4,11.03
0,ELECTRICITY,GERMANY,21,5,11.03
0,ELECTRICITY,GERMANY,21,6,11.03
0,ELECTRICITY,GERMANY,21,7,11.03
0,ELECTRICITY,GERMANY,21,8,11.03
0,ELECTRICITY,GERMANY,21,9,11.03
0,ELECTRICITY,GERMANY,21,10,11.03
0,ELECTRICITY,GERMANY,21,11,11.03
0,ELECTRICITY,GERMANY,21,12,11.03
0,ELECTRICITY,GERMANY,22,1,11.03
0,ELECTRICITY,GERMANY,22,2,11.03
0,ELECTRICITY,GERMANY,22,3,11.03
0,ELECTRICITY,GERMANY,22,4,11.03
0,ELECTRICITY,GERMANY,22,5,11.03
0,ELECTRICITY,GERMANY,22,6,11.03
0,ELECTRICITY,GERMANY,22,7,11.03
0,ELECTRICITY,GERMANY,22,8,11.03
0,ELECTRICITY,GERMANY,22,9,11.03
0,ELECTRICITY,GERMANY,22,10,11.03
0,ELECTRICITY,GERMANY,22,11,11.03
