ct,n,h,td,d_ref
HEAT_HIGH_T,GERMANY,2,8,23.65296803652969
HEAT_HIGH_T,GERMANY,2,9,23.65296803652969
HEAT_HIGH_T,GERMANY,2,10,23.65296803652969
HEAT_HIGH_T,GERMANY,2,11,23.65296803652969
HEAT_HIGH_T,GERMANY,2,12,23.65296803652969
HEAT_HIGH_T,GERMANY,3,1,23.65296803652969
HEAT_HIGH_T,GERMANY,3,2,23.65296803652969
HEAT_HIGH_T,GERMANY,3,3,23.65296803652969
HEAT_HIGH_T,GERMANY,3,4,23.65296803652969
HEAT_HIGH_T,GERMANY,3,5,23.65296803652969
HEAT_HIGH_T,GERMANY,3,6,23.65296803652969
HEAT_HIGH_T,GERMANY,3,7,23.65296803652969
HEAT_HIGH_T,GERMANY,3,8,23.65296803652969
HEAT_HIGH_T,GERMANY,3,9,23.65296803652969
HEAT_HIGH_T,GERMANY,3,10,23.65296803652969
HEAT_HIGH_T,GERMANY,3,11,23.65296803652969
HEAT_HIGH_T,GERMANY,3,12,23.65296803652969
HEAT_HIGH_T,GERMANY,4,1,23.65296803652969
HEAT_HIGH_T,GERMANY,4,2,23.65296803652969
HEAT_HIGH_T,GERMANY,4,3,23.65296803652969
HEAT_HIGH_T,GERMANY,4,4,23.65296803652969
HEAT_HIGH_T,GERMANY,4,5,23.65296803652969
HEAT_HIGH_T,GERMANY,4,6,23.65296803652969
HEAT_HIGH_T,GERMANY,4,7,23.65296803652969
HEAT_HIGH_T,GERMANY,4,8,23.65296803652969
HEAT_HIGH_T,GERMANY,4,9,23.65296803652969
HEAT_HIGH_T,GERMANY,4,10,23.65296803652969
HEAT_HIGH_T,GERMANY,4,11,23.65296803652969
HEAT_HIGH_T,GERMANY,4,12,23.65296803652969
HEAT_HIGH_T,GERMANY,5,1,23.65296803652969
HEAT_HIGH_T,GERMANY,5,2,23.65296803652969
HEAT_HIGH_T,GERMANY,5,3,23.65296803652969
HEAT_HIGH_T,GERMANY,5,4,23.65296803652969
HEAT_HIGH_T,GERMANY,5,5,23.65296803652969
HEAT_HIGH_T,GERMANY,5,6,23.65296803652969
HEAT_HIGH_T,GERMANY,5,7,23.65296803652969
