k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,11,7,0.15418231299888793
1,ELECTRICITY,GERMANY,11,8,0.1533575374537687
1,ELECTRICITY,GERMANY,11,9,0.1497519474401013
1,ELECTRICITY,GERMANY,11,10,0.1501962561649077
1,ELECTRICITY,GERMANY,11,11,0.16187983452638652
1,ELECTRICITY,GERMANY,11,12,0.14897509603911013
1,ELECTRICITY,GERMANY,12,1,0.14607016408204976
1,ELECTRICITY,GERMANY,12,2,0.1506327360556943
1,ELECTRICITY,GERMANY,12,3,0.15229568451066078
1,ELECTRICITY,GERMANY,12,4,0.15273243603083467
1,ELECTRICITY,GERMANY,12,5,0.15256251556389275
1,ELECTRICITY,GERMANY,12,6,0.15366694609855747
1,ELECTRICITY,GERMANY,12,7,0.15486870580483836
1,ELECTRICITY,GERMANY,12,8,0.15525266787621048
1,ELECTRICITY,GERMANY,12,9,0.15027837087216608
1,ELECTRICITY,GERMANY,12,10,0.15063938943421168
1,ELECTRICITY,GERMANY,12,11,0.1623486125758505
1,ELECTRICITY,GERMANY,12,12,0.14892269325354987
1,ELECTRICITY,GERMANY,13,1,0.14648983348258285
1,ELECTRICITY,GERMANY,13,2,0.15102171130950548
1,ELECTRICITY,GERMANY,13,3,0.1540822117854237
1,ELECTRICITY,GERMANY,13,4,0.15382314691191765
1,ELECTRICITY,GERMANY,13,5,0.15392805771234105
1,ELECTRICITY,GERMANY,13,6,0.1549831340359091
1,ELECTRICITY,GERMANY,13,7,0.15519706438451883
1,ELECTRICITY,GERMANY,13,8,0.15705473389611893
1,ELECTRICITY,GERMANY,13,9,0.15145279526040273
1,ELECTRICITY,GERMANY,13,10,0.15215740146606083
1,ELECTRICITY,GERMANY,13,11,0.16490301269993812
1,ELECTRICITY,GERMANY,13,12,0.15023901814741855
1,ELECTRICITY,GERMANY,14,1,0.1475109878537022
1,ELECTRICITY,GERMANY,14,2,0.15202991070140554
1,ELECTRICITY,GERMANY,14,3,0.15604722039382402
1,ELECTRICITY,GERMANY,14,4,0.1550872827896855
1,ELECTRICITY,GERMANY,14,5,0.1548612829334131
1,ELECTRICITY,GERMANY,14,6,0.15559133362294722
1,ELECTRICITY,GERMANY,14,7,0.15617399165685983
1,ELECTRICITY,GERMANY,14,8,0.15843176345561039
1,ELECTRICITY,GERMANY,14,9,0.15182749576500207
1,ELECTRICITY,GERMANY,14,10,0.1535110621938537
1,ELECTRICITY,GERMANY,14,11,0.1666609291890283
1,ELECTRICITY,GERMANY,14,12,0.1509631565695597
1,ELECTRICITY,GERMANY,15,1,0.14797738406536368
1,ELECTRICITY,GERMANY,15,2,0.15296915733936414
1,ELECTRICITY,GERMANY,15,3,0.15639852916239042
1,ELECTRICITY,GERMANY,15,4,0.15635471160767644
1,ELECTRICITY,GERMANY,15,5,0.1558961052852517
1,ELECTRICITY,GERMANY,15,6,0.15731499750612996
1,ELECTRICITY,GERMANY,15,7,0.1574793800096529
1,ELECTRICITY,GERMANY,15,8,0.15961469872619957
1,ELECTRICITY,GERMANY,15,9,0.15293549466617343
1,ELECTRICITY,GERMANY,15,10,0.15559738056876082
1,ELECTRICITY,GERMANY,15,11,0.16730271596933913
1,ELECTRICITY,GERMANY,15,12,0.15145703009260872
1,ELECTRICITY,GERMANY,16,1,0.1481576176694644
1,ELECTRICITY,GERMANY,16,2,0.1534390552219893
1,ELECTRICITY,GERMANY,16,3,0.15627815624376828
1,ELECTRICITY,GERMANY,16,4,0.15675409170145235
1,ELECTRICITY,GERMANY,16,5,0.15657351278747106
1,ELECTRICITY,GERMANY,16,6,0.15803830967795995
1,ELECTRICITY,GERMANY,16,7,0.15788345091804376
1,ELECTRICITY,GERMANY,16,8,0.15998352371482985
1,ELECTRICITY,GERMANY,16,9,0.15332702252997069
1,ELECTRICITY,GERMANY,16,10,0.15513797212347347
1,ELECTRICITY,GERMANY,16,11,0.16670256583384657
1,ELECTRICITY,GERMANY,16,12,0.15146350735290334
1,ELECTRICITY,GERMANY,17,1,0.14612544768145172
1,ELECTRICITY,GERMANY,17,2,0.1503829211401071
1,ELECTRICITY,GERMANY,17,3,0.1536436138323713
1,ELECTRICITY,GERMANY,17,4,0.1568288438042604
1,ELECTRICITY,GERMANY,17,5,0.15791526498175631
1,ELECTRICITY,GERMANY,17,6,0.15824702886218855
1,ELECTRICITY,GERMANY,17,7,0.1587921234439842
1,ELECTRICITY,GERMANY,17,8,0.15972752254808859
1,ELECTRICITY,GERMANY,17,9,0.15421575202474327
1,ELECTRICITY,GERMANY,17,10,0.154984699146643
1,ELECTRICITY,GERMANY,17,11,0.16198405827002915
1,ELECTRICITY,GERMANY,17,12,0.14948550544721925
1,ELECTRICITY,GERMANY,18,1,0.1469071165195479
1,ELECTRICITY,GERMANY,18,2,0.14972065943354881
1,ELECTRICITY,GERMANY,18,3,0.14986808296629925
1,ELECTRICITY,GERMANY,18,4,0.1564155316735974
1,ELECTRICITY,GERMANY,18,5,0.15862881602073814
1,ELECTRICITY,GERMANY,18,6,0.15858578838705925
1,ELECTRICITY,GERMANY,18,7,0.15957832455617746
1,ELECTRICITY,GERMANY,18,8,0.16053772917067108
1,ELECTRICITY,GERMANY,18,9,0.15542155393327856
1,ELECTRICITY,GERMANY,18,10,0.15361336935445338
1,ELECTRICITY,GERMANY,18,11,0.16240888671649367
1,ELECTRICITY,GERMANY,18,12,0.14904767753906842
1,ELECTRICITY,GERMANY,19,1,0.14864383318910282
1,ELECTRICITY,GERMANY,19,2,0.15070879209022978
1,ELECTRICITY,GERMANY,19,3,0.1506949804276933
1,ELECTRICITY,GERMANY,19,4,0.15673754908567236
1,ELECTRICITY,GERMANY,19,5,0.16029278699445032
1,ELECTRICITY,GERMANY,19,6,0.16037220992738263
1,ELECTRICITY,GERMANY,19,7,0.16178285050899735
1,ELECTRICITY,GERMANY,19,8,0.1631511466323431
1,ELECTRICITY,GERMANY,19,9,0.15649315256436028
1,ELECTRICITY,GERMANY,19,10,0.15659907504918538
1,ELECTRICITY,GERMANY,19,11,0.16471290500559313
1,ELECTRICITY,GERMANY,19,12,0.15126756652071172
1,ELECTRICITY,GERMANY,20,1,0.15232087679702241
1,ELECTRICITY,GERMANY,20,2,0.15382147669614374
1,ELECTRICITY,GERMANY,20,3,0.15423396238028855
1,ELECTRICITY,GERMANY,20,4,0.15966008595275266
1,ELECTRICITY,GERMANY,20,5,0.16101283114527198
1,ELECTRICITY,GERMANY,20,6,0.16237423435534137
1,ELECTRICITY,GERMANY,20,7,0.16323270470827064
1,ELECTRICITY,GERMANY,20,8,0.16504088986681262
1,ELECTRICITY,GERMANY,20,9,0.15919429805039037
1,ELECTRICITY,GERMANY,20,10,0.1610893058108423
1,ELECTRICITY,GERMANY,20,11,0.16976953652790255
1,ELECTRICITY,GERMANY,20,12,0.15448119563469662
1,ELECTRICITY,GERMANY,21,1,0.15591841068083293
1,ELECTRICITY,GERMANY,21,2,0.1571268237589157
1,ELECTRICITY,GERMANY,21,3,0.15779876618804375
1,ELECTRICITY,GERMANY,21,4,0.16334432834677673
1,ELECTRICITY,GERMANY,21,5,0.16454013905893597
1,ELECTRICITY,GERMANY,21,6,0.1656598050803344
1,ELECTRICITY,GERMANY,21,7,0.16821254705063904
1,ELECTRICITY,GERMANY,21,8,0.1696281797114763
1,ELECTRICITY,GERMANY,21,9,0.16441938902317446
1,ELECTRICITY,GERMANY,21,10,0.16425558788446534
1,ELECTRICITY,GERMANY,21,11,0.17235985990177674
1,ELECTRICITY,GERMANY,21,12,0.15874093404265827
1,ELECTRICITY,GERMANY,22,1,0.15849953028783792
1,ELECTRICITY,GERMANY,22,2,0.15860408935267656
1,ELECTRICITY,GERMANY,22,3,0.16019253899474858
