k,ct,n,h,td,D
1,ELECTRICITY,GERMANY,17,10,66.61504376218706
1,ELECTRICITY,GERMANY,17,11,63.7365962205508
1,ELECTRICITY,GERMANY,17,12,69.06564275402846
1,ELECTRICITY,GERMANY,18,1,70.27782425196014
1,ELECTRICITY,GERMANY,18,2,68.95716700142715
1,ELECTRICITY,GERMANY,18,3,68.88933461866354
1,ELECTRICITY,GERMANY,18,4,66.00567351372396
1,ELECTRICITY,GERMANY,18,5,65.08472278311201
1,ELECTRICITY,GERMANY,18,6,65.10238162655875
1,ELECTRICITY,GERMANY,18,7,64.69746154333437
1,ELECTRICITY,GERMANY,18,8,64.31081696158185
1,ELECTRICITY,GERMANY,18,9,66.42780396183134
1,ELECTRICITY,GERMANY,18,10,67.20972633768812
1,ELECTRICITY,GERMANY,18,11,63.56987431448554
1,ELECTRICITY,GERMANY,18,12,69.26852324429413
1,ELECTRICITY,GERMANY,19,1,69.45671606159777
1,ELECTRICITY,GERMANY,19,2,68.5050445493706
1,ELECTRICITY,GERMANY,19,3,68.51132324926276
1,ELECTRICITY,GERMANY,19,4,65.87006480801723
1,ELECTRICITY,GERMANY,19,5,64.40908982685836
1,ELECTRICITY,GERMANY,19,6,64.37719178901334
1,ELECTRICITY,GERMANY,19,7,63.81586480668941
1,ELECTRICITY,GERMANY,19,8,63.28066170070255
1,ELECTRICITY,GERMANY,19,9,65.97293457857194
1,ELECTRICITY,GERMANY,19,10,65.92831096148117
1,ELECTRICITY,GERMANY,19,11,62.68065344225724
1,ELECTRICITY,GERMANY,19,12,68.25199051978802
1,ELECTRICITY,GERMANY,20,1,67.78002289128656
1,ELECTRICITY,GERMANY,20,2,67.11879730889262
1,ELECTRICITY,GERMANY,20,3,66.93929376376117
1,ELECTRICITY,GERMANY,20,4,64.66433018943908
1,ELECTRICITY,GERMANY,20,5,64.12105446930516
1,ELECTRICITY,GERMANY,20,6,63.583440791038264
1,ELECTRICITY,GERMANY,20,7,63.24904396195985
1,ELECTRICITY,GERMANY,20,8,62.55608852118226
1,ELECTRICITY,GERMANY,20,9,64.85353208351113
1,ELECTRICITY,GERMANY,20,10,64.09061398679223
1,ELECTRICITY,GERMANY,20,11,60.81369324128516
1,ELECTRICITY,GERMANY,20,12,66.83216344685107
1,ELECTRICITY,GERMANY,21,1,66.21612207975252
1,ELECTRICITY,GERMANY,21,2,65.70687467064133
1,ELECTRICITY,GERMANY,21,3,65.42708010669658
1,ELECTRICITY,GERMANY,21,4,63.20582184038072
1,ELECTRICITY,GERMANY,21,5,62.74646767148407
1,ELECTRICITY,GERMANY,21,6,62.3223751296604
1,ELECTRICITY,GERMANY,21,7,61.376589898582125
1,ELECTRICITY,GERMANY,21,8,60.86437131898623
1,ELECTRICITY,GERMANY,21,9,62.79254884390694
1,ELECTRICITY,GERMANY,21,10,62.85516766336723
1,ELECTRICITY,GERMANY,21,11,59.899749988231434
1,ELECTRICITY,GERMANY,21,12,65.03875373033007
1,ELECTRICITY,GERMANY,22,1,65.13781143309313
1,ELECTRICITY,GERMANY,22,2,65.09486961061634
1,ELECTRICITY,GERMANY,22,3,64.44939683777326
1,ELECTRICITY,GERMANY,22,4,61.34743879193991
1,ELECTRICITY,GERMANY,22,5,60.98635748831978
1,ELECTRICITY,GERMANY,22,6,60.56562853572405
1,ELECTRICITY,GERMANY,22,7,59.24928789136691
1,ELECTRICITY,GERMANY,22,8,58.99376722968386
1,ELECTRICITY,GERMANY,22,9,60.84772155230789
1,ELECTRICITY,GERMANY,22,10,61.03983855704413
1,ELECTRICITY,GERMANY,22,11,59.65432009423222
1,ELECTRICITY,GERMANY,22,12,63.79473025437382
1,ELECTRICITY,GERMANY,23,1,63.415821927845556
1,ELECTRICITY,GERMANY,23,2,63.68586208302926
1,ELECTRICITY,GERMANY,23,3,62.54795984721473
1,ELECTRICITY,GERMANY,23,4,59.99224869199998
1,ELECTRICITY,GERMANY,23,5,59.91107407196553
1,ELECTRICITY,GERMANY,23,6,59.10005664928699
1,ELECTRICITY,GERMANY,23,7,58.05056075034701
1,ELECTRICITY,GERMANY,23,8,57.90648701174993
1,ELECTRICITY,GERMANY,23,9,59.51624475642499
1,ELECTRICITY,GERMANY,23,10,59.90709382471245
1,ELECTRICITY,GERMANY,23,11,58.52191172082334
1,ELECTRICITY,GERMANY,23,12,62.20773279680787
