ct,n,h,td,p_ref
HEAT_HIGH_T,GERMANY,6,10,0.031665799
HEAT_HIGH_T,GERMANY,6,11,0.031665799
HEAT_HIGH_T,GERMANY,6,12,0.031665799
HEAT_HIGH_T,GERMANY,7,1,0.031665799
HEAT_HIGH_T,GERMANY,7,2,0.031665799
HEAT_HIGH_T,GERMANY,7,3,0.031665799
HEAT_HIGH_T,GERMANY,7,4,0.031665799
HEAT_HIGH_T,GERMANY,7,5,0.031665799
HEAT_HIGH_T,GERMANY,7,6,0.031665799
HEAT_HIGH_T,GERMANY,7,7,0.031665799
HEAT_HIGH_T,GERMANY,7,8,0.031665799
HEAT_HIGH_T,GERMANY,7,9,0.031665799
HEAT_HIGH_T,GERMANY,7,10,0.031665799
HEAT_HIGH_T,GERMANY,7,11,0.031665799
HEAT_HIGH_T,GERMANY,7,12,0.031665799
HEAT_HIGH_T,GERMANY,8,1,0.031665799
HEAT_HIGH_T,GERMANY,8,2,0.031665799
HEAT_HIGH_T,GERMANY,8,3,0.031665799
HEAT_HIGH_T,GERMANY,8,4,0.031665799
HEAT_HIGH_T,GERMANY,8,5,0.031665799
HEAT_HIGH_T,GERMANY,8,6,0.031665799
HEAT_HIGH_T,GERMANY,8,7,0.031665799
HEAT_HIGH_T,GERMANY,8,8,0.031665799
HEAT_HIGH_T,GERMANY,8,9,0.031665799
HEAT_HIGH_T,GERMANY,8,10,0.031665799
HEAT_HIGH_T,GERMANY,8,11,0.031665799
HEAT_HIGH_T,GERMANY,8,12,0.031665799
HEAT_HIGH_T,GERMANY,9,1,0.031665799
HEAT_HIGH_T,GERMANY,9,2,0.031665799
HEAT_HIGH_T,GERMANY,9,3,0.031665799
HEAT_HIGH_T,GERMANY,9,4,0.031665799
HEAT_HIGH_T,GERMANY,9,5,0.031665799
HEAT_HIGH_T,GERMANY,9,6,0.031665799
HEAT_HIGH_T,GERMANY,9,7,0.031665799
HEAT_HIGH_T,GERMANY,9,8,0.031665799
HEAT_HIGH_T,GERMANY,9,9,0.031665799
HEAT_HIGH_T,GERMANY,9,10,0.031665799
HEAT_HIGH_T,GERMANY,9,11,0.031665799
HEAT_HIGH_T,GERMANY,9,12,0.031665799
HEAT_HIGH_T,GERMANY,10,1,0.031665799
HEAT_HIGH_T,GERMANY,10,2,0.031665799
HEAT_HIGH_T,GERMANY,10,3,0.031665799
HEAT_HIGH_T,GERMANY,10,4,0.031665799
HEAT_HIGH_T,GERMANY,10,5,0.031665799
HEAT_HIGH_T,GERMANY,10,6,0.031665799
HEAT_HIGH_T,GERMANY,10,7,0.031665799
HEAT_HIGH_T,GERMANY,10,8,0.031665799
HEAT_HIGH_T,GERMANY,10,9,0.031665799
HEAT_HIGH_T,GERMANY,10,10,0.031665799
HEAT_HIGH_T,GERMANY,10,11,0.031665799
HEAT_HIGH_T,GERMANY,10,12,0.031665799
HEAT_HIGH_T,GERMANY,11,1,0.031665799
HEAT_HIGH_T,GERMANY,11,2,0.031665799
HEAT_HIGH_T,GERMANY,11,3,0.031665799
HEAT_HIGH_T,GERMANY,11,4,0.031665799
HEAT_HIGH_T,GERMANY,11,5,0.031665799
HEAT_HIGH_T,GERMANY,11,6,0.031665799
HEAT_HIGH_T,GERMANY,11,7,0.031665799
HEAT_HIGH_T,GERMANY,11,8,0.031665799
HEAT_HIGH_T,GERMANY,11,9,0.031665799
HEAT_HIGH_T,GERMANY,11,10,0.031665799
HEAT_HIGH_T,GERMANY,11,11,0.031665799
HEAT_HIGH_T,GERMANY,11,12,0.031665799
HEAT_HIGH_T,GERMANY,12,1,0.031665799
HEAT_HIGH_T,GERMANY,12,2,0.031665799
HEAT_HIGH_T,GERMANY,12,3,0.031665799
HEAT_HIGH_T,GERMANY,12,4,0.031665799
HEAT_HIGH_T,GERMANY,12,5,0.031665799
HEAT_HIGH_T,GERMANY,12,6,0.031665799
HEAT_HIGH_T,GERMANY,12,7,0.031665799
