param c_p_t :=
["PV",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
20	0.8109062203	0.2063229785	0.2480368953	0.2473410246	0.3148579698	0.2424679289	0.1020314281	0.0847404647	0.0639723142	0.504930348	0.1309158914	0.2762296365	
21	0.8073425583	0.2274200092	0.2613981681	0.2641348863	0.3555223693	0.2239421205	0.1140319144	0.0790150028	0.080874429	0.5074054141	0.1339665992	0.2765715321	
22	0.7844973469	0.2499507076	0.2736961143	0.2626171804	0.3667832667	0.2043606981	0.1296686678	0.0826895835	0.0876227239	0.5116684993	0.1277385518	0.2636949933	
23	0.6540395985	0.2684499051	0.2687032285	0.2094453533	0.3436171073	0.155420855	0.1464692771	0.1155196646	0.1105288369	0.5659480574	0.1058650174	0.2693138484	
24	0.6716478848	0.2971442633	0.2859541326	0.2033627594	0.3368925977	0.1533223548	0.1489642497	0.1101689494	0.1065495207	0.5455508118	0.0940133859	0.2537383528	

["WIND_OFFSHORE",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.8796098815	0.4259324924	0.5167788572	0.7362139071	0.7958781899	0.179171141	0.5692203266	0.2024799262	0.2423840613	0.8264277724	0.1201156249	0.8696013991	
2	0.8796157842	0.3852887161	0.5267251982	0.7114360897	0.7926307189	0.2034425837	0.6227313198	0.2210763621	0.2462451439	0.836727072	0.1090218189	0.8724471165	
3	0.8796373127	0.3556449258	0.5150191494	0.7002027489	0.7357961799	0.209081499	0.6331038041	0.2452432145	0.2642433187	0.8661907245	0.1195027453	0.8683429641	
4	0.8796649913	0.3344109993	0.5115123554	0.6881613722	0.7774150012	0.2091725054	0.6497600436	0.2697487389	0.2398872287	0.8738674245	0.1364167235	0.8673166715	
5	0.8796762493	0.3317345524	0.4960998178	0.6757647969	0.6407417639	0.2690143653	0.6562478278	0.2655750908	0.187543283	0.8766579419	0.1426553336	0.8625296074	
6	0.8796726943	0.3327726446	0.5110604741	0.6705424008	0.4939231244	0.3124422613	0.6564207865	0.2711264452	0.1376668139	0.8783385226	0.1579852137	0.8629245952	
7	0.8796273306	0.3199899737	0.5435369742	0.6739663444	0.565976185	0.3492893172	0.6457913006	0.2783609514	0.1362316941	0.878392843	0.1745675116	0.8653687713	
8	0.8795569783	0.3045457326	0.558734334	0.6757576305	0.6317454942	0.3751162672	0.6320792533	0.2818319023	0.17853415	0.8780494246	0.1877535899	0.8688358506	
9	0.879477077	0.3238649777	0.5742572535	0.6812860159	0.6846009091	0.3925582845	0.6488914469	0.2847842126	0.2599135924	0.8757056013	0.2072300611	0.87330284	
10	0.8794005313	0.3555752215	0.6102405366	0.6913982377	0.6813659381	0.4103731583	0.6579039707	0.2942585559	0.3250705115	0.8790619841	0.2314483883	0.8704948009	
11	0.8792991834	0.4478421301	0.5412516193	0.685561586	0.6060147565	0.421774891	0.4984283124	0.3396753776	0.272356372	0.8722358291	0.233590029	0.8730834332	
12	0.8793867083	0.4814105612	0.6023084334	0.6728711088	0.6245972055	0.4600155966	0.524353638	0.4118094247	0.2394659616	0.8685604994	0.2614967021	0.873241158	
13	0.8794794378	0.4615246247	0.6299494786	0.6327060089	0.6574276477	0.4830838048	0.5735099038	0.4451971198	0.2371812853	0.8760337636	0.3152064305	0.8665111025	
14	0.8795975896	0.4601775862	0.6461211837	0.5816412102	0.6300001768	0.4870126024	0.621745381	0.4425115742	0.2705037084	0.8786532005	0.3475706849	0.8642376914	
15	0.8795219273	0.4704132018	0.6729646136	0.5725708028	0.6385049998	0.5007680109	0.6678626873	0.4651206482	0.2985952794	0.879207822	0.3589410173	0.8558596904	
16	0.8796431289	0.4785516529	0.6956916789	0.6072186624	0.6584263007	0.5491403683	0.6722497573	0.4483969683	0.3013876273	0.87940204	0.3600509436	0.8543253419	
17	0.8796903704	0.487932282	0.7214319032	0.6465809026	0.6479873634	0.6143397375	0.6755976124	0.4410677792	0.3949768496	0.8794362887	0.4017246768	0.8120204663	
18	0.879676683	0.4928771916	0.7442659853	0.659025028	0.6583964868	0.5906438537	0.6685216238	0.3916462498	0.5161853605	0.8794072417	0.4542596625	0.8224509402	
19	0.8796333499	0.5080232749	0.761953575	0.6688574081	0.654062449	0.5653657959	0.659991963	0.3354117696	0.5504325915	0.8793815522	0.4825835242	0.842689147	
20	0.8795733016	0.580051398	0.7860709935	0.6724184741	0.6910140023	0.5393563186	0.6307210589	0.3405024202	0.5205297125	0.8793679546	0.4639566442	0.8380924825	
21	0.8795434525	0.6347649987	0.8121961393	0.6627867792	0.7651963539	0.4788576262	0.6127389053	0.3728608324	0.4734067363	0.879358697	0.4101548005	0.8244783067	
22	0.8795527612	0.6444891557	0.8318713508	0.6437861463	0.708466228	0.4028015352	0.659889067	0.4092833951	0.426866994	0.8792779394	0.3341327531	0.8197549274	
23	0.8795051078	0.6879035713	0.8270770402	0.5836947633	0.5792707969	0.3076545878	0.6958436852	0.591261349	0.4528678956	0.8795060477	0.3464351643	0.8132761117	
24	0.8795860256	0.7121149909	0.8491094319	0.5463007922	0.40565301	0.2518707502	0.7281570607	0.5412219241	0.389537753	0.8794749606	0.3073986334	0.7818802781	

["HYDRO_RIVER",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
1	0.400191527	0.3115063339	0.5266691524	1.0591352554	0.8242580787	0.7721525827	0.239917631	0.3340313538	0.2427579913	0.3838828991	0.3353489757	0.283766139	
2	0.3991353819	0.3116454965	0.5271126527	1.0591352554	0.8234814315	0.7716396256	0.2399451741	0.3342513226	0.2423234415	0.3840039967	0.3346061993	0.2834378421	
3	0.398491806	0.3117913515	0.5275590213	1.0591352554	0.8227029522	0.7711345118	0.2398709011	0.3341853119	0.2420358484	0.3842547872	0.3341097696	0.2825426114	
4	0.3978996826	0.3119278289	0.5280022765	1.0591352554	0.8219264084	0.7706318019	0.2392814316	0.3339676637	0.2417652191	0.3862795441	0.3336960435	0.2814039403	
5	0.397375267	0.3120715569	0.5284564271	1.0591352554	0.8211556327	0.7701352064	0.2380626318	0.3336888641	0.2414433208	0.38713279	0.3330898043	0.2799807455	
6	0.3969551096	0.3122073426	0.528897698	1.0591352554	0.8203881899	0.7696552273	0.237361387	0.3334431713	0.2410341874	0.3887637309	0.3325627405	0.2783051225	
7	0.3964702869	0.3123508548	0.5293192324	1.0591352554	0.8196666897	0.7691896798	0.2374472114	0.333297825	0.2405184234	0.3903773051	0.3323651637	0.2766675187	
8	0.396078573	0.3124929164	0.5297959043	1.0591352554	0.8191278108	0.7688488085	0.2382315162	0.3322766019	0.2401837119	0.3918590322	0.3315326078	0.2755674771	
9	0.3956220871	0.3126305621	0.5302449015	1.0591352554	0.8189365921	0.7684308352	0.2391270817	0.3315153853	0.2395076142	0.3934195876	0.3310130767	0.2744780958	
10	0.395171175	0.3127674097	0.5305694737	1.0591352554	0.8191292007	0.7671294818	0.2399907266	0.3310339242	0.2384858475	0.3946214574	0.3307125028	0.2734130411	
11	0.3946763023	0.3129048679	0.5308543756	1.0591352554	0.8189637034	0.7657519845	0.2419964243	0.3308320359	0.2362659007	0.39736529	0.3304106436	0.2726541382	
12	0.3941233633	0.313049391	0.5312053345	1.0591352554	0.8186027466	0.7643169962	0.2436093774	0.3306939523	0.2341358548	0.3988453833	0.3301790787	0.2721268539	
13	0.3934290596	0.3132084993	0.5314288311	1.0591352554	0.8182332249	0.7629646619	0.2454889083	0.3305098169	0.2315524587	0.4000227966	0.3302265154	0.2717024967	
