param c_p_t :=
["PV",*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	:=
7	0.0002528974	0.0003291006	0.0002224342	0.0001561116	4.02163e-05	0.000155368	3.05073e-05	3.72607e-05	3.0469e-05	0.0001135152	0.0002238968	0.0002360682	
8	0.0002428238	0.0003155759	0.0002137402	0.0001499906	3.97413e-05	0.0001492833	3.05053e-05	3.69298e-05	3.04689e-05	0.0001094694	0.0002148586	0.0002267568	
9	0.0002324785	0.0003016863	0.0002048117	0.0001439662	3.92739e-05	0.0001432945	3.05034e-05	3.6604e-05	3.04688e-05	0.0001054874	0.000206461	0.0002171942	
10	0.0002222964	0.0002880159	0.0001960241	0.0001397172	3.89442e-05	0.0001390706	3.0502e-05	3.63743e-05	3.04687e-05	0.0001026788	0.0001984281	0.0002077825	
11	0.0002151149	0.000278374	0.0001898262	0.0001372858	3.87555e-05	0.0001366536	3.05013e-05	3.62428e-05	3.04687e-05	0.0001010718	0.0001917066	0.0002011443	
12	0.0002110056	0.0002728569	0.0001862797	0.0001351902	3.85929e-05	0.0001345704	3.05006e-05	3.61295e-05	3.04687e-05	9.96866e-05	0.0001871884	0.000197346	
13	0.0002074636	0.0002681015	0.0001832228	0.0001350694	3.85836e-05	0.0001344503	3.05005e-05	3.6123e-05	3.04687e-05	9.96068e-05	0.0001850695	0.000194072	
14	0.0002072595	0.0002678274	0.0001830466	0.0001363047	3.86794e-05	0.0001356783	3.05009e-05	3.61898e-05	3.04687e-05	0.0001004233	0.0001851075	0.0001938833	
15	0.0002093473	0.0002706305	0.0001848485	0.0001402654	3.89867e-05	0.0001396156	3.05022e-05	3.64039e-05	3.04687e-05	0.0001030412	0.0001875336	0.0001958131	
16	0.0002160415	0.0002796181	0.0001906259	0.0001441802	3.92905e-05	0.0001435072	3.05035e-05	3.66156e-05	3.04688e-05	0.0001056288	0.0001943296	0.0002020009	
17	0.0002226581	0.0002885015	0.0001963363	0.0001477012	3.95637e-05	0.0001470074	3.05046e-05	3.6806e-05	3.04688e-05	0.0001079561	0.0002009606	0.0002081168	
18	0.0002286091	0.0002964913	0.0002014723	0.000149246	3.96836e-05	0.000148543	3.05051e-05	3.68895e-05	3.04689e-05	0.0001089772	0.0002058706	0.0002136175	
19	0.0002312199	0.0002999965	0.0002037255	0.0001467206	3.94876e-05	0.0001460326	3.05043e-05	3.6753e-05	3.04688e-05	0.000107308	0.0002090556	0.0002160308	
20	0.0002269517	0.0002942661	0.0002000419	0.0001357359	3.86353e-05	0.0001351128	3.05008e-05	3.6159e-05	3.04687e-05	0.0001000473	0.0002067283	0.0002120856	
21	0.0002083859	0.0002693398	0.0001840188	0.0001178765	3.72495e-05	0.0001173591	3.04951e-05	3.51934e-05	3.04684e-05	8.82427e-05	0.0001908637	0.0001949245	
22	0.0001782011	0.0002288138	0.0001579679	9.91525e-05	3.57967e-05	9.8746e-05	3.04891e-05	3.4181e-05	3.04682e-05	7.58666e-05	0.000163715	0.0001670234	
23	0.000146555	0.000186326	0.000130656	9.10698e-05	3.51695e-05	9.07111e-05	3.04865e-05	3.3744e-05	3.04681e-05	7.05241e-05	0.000135261	0.0001377717	
24	0.000132894	0.0001679848	0.0001200471	9.36473e-05	3.53695e-05	9.32734e-05	3.04874e-05	3.38833e-05	3.04681e-05	7.22278e-05	0.0001222468	0.0001251443	
;
