st,n,h,td,val
AMMONIA,GERMANY,20,8,1.117495884186477e-09
AMMONIA,GERMANY,20,9,2.769446345188498e-09
AMMONIA,GERMANY,20,10,2.449894368040168e-09
AMMONIA,GERMANY,20,11,1.873448620044598e-09
AMMONIA,GERMANY,20,12,1.355260632515095e-09
AMMONIA,GERMANY,21,1,2.359157217140855e-09
AMMONIA,GERMANY,21,2,3.746896970367648e-09
AMMONIA,GERMANY,21,3,6.369724072183646e-09
AMMONIA,GERMANY,21,4,1.819921384295755e-09
AMMONIA,GERMANY,21,5,1.769368156310804e-09
AMMONIA,GERMANY,21,6,4.246483306680192e-09
AMMONIA,GERMANY,21,7,1.676243814272707e-09
AMMONIA,GERMANY,21,8,1.117495884238146e-09
AMMONIA,GERMANY,21,9,2.769446345305812e-09
AMMONIA,GERMANY,21,10,2.449894367965629e-09
AMMONIA,GERMANY,21,11,1.87344861981357e-09
AMMONIA,GERMANY,21,12,1.355260632362841e-09
AMMONIA,GERMANY,22,1,2.359157216993048e-09
AMMONIA,GERMANY,22,2,3.746896969951331e-09
AMMONIA,GERMANY,22,3,6.369724069117387e-09
AMMONIA,GERMANY,22,4,1.819921384521701e-09
AMMONIA,GERMANY,22,5,1.76936815654882e-09
AMMONIA,GERMANY,22,6,4.246483307244316e-09
AMMONIA,GERMANY,22,7,1.676243814253225e-09
AMMONIA,GERMANY,22,8,1.117495884289286e-09
AMMONIA,GERMANY,22,9,2.769446345422279e-09
AMMONIA,GERMANY,22,10,2.449894367891937e-09
AMMONIA,GERMANY,22,11,1.873448619582118e-09
AMMONIA,GERMANY,22,12,1.355260632210375e-09
AMMONIA,GERMANY,23,1,2.359157216846088e-09
AMMONIA,GERMANY,23,2,3.746896969533744e-09
AMMONIA,GERMANY,23,3,6.369724069173291e-09
AMMONIA,GERMANY,23,4,1.819921384747859e-09
AMMONIA,GERMANY,23,5,1.769368156787048e-09
AMMONIA,GERMANY,23,6,4.246483309098471e-09
AMMONIA,GERMANY,23,7,1.676243814233108e-09
AMMONIA,GERMANY,23,8,1.117495884340426e-09
AMMONIA,GERMANY,23,9,2.769446345537899e-09
AMMONIA,GERMANY,23,10,2.449894367819092e-09
AMMONIA,GERMANY,23,11,1.873448619350243e-09
AMMONIA,GERMANY,23,12,1.355260632057909e-09
AMMONIA,GERMANY,24,1,2.359157216699551e-09
AMMONIA,GERMANY,24,2,3.746896968026026e-09
AMMONIA,GERMANY,24,3,6.36972406902506e-09
AMMONIA,GERMANY,24,4,1.819921384974017e-09
AMMONIA,GERMANY,24,5,1.769368157026123e-09
AMMONIA,GERMANY,24,6,4.246483309069249e-09
AMMONIA,GERMANY,24,7,1.676243814212779e-09
AMMONIA,GERMANY,24,8,1.117495884391459e-09
AMMONIA,GERMANY,24,9,2.769446345653095e-09
AMMONIA,GERMANY,24,10,2.449894367747095e-09
AMMONIA,GERMANY,24,11,1.873448619117733e-09
AMMONIA,GERMANY,24,12,1.355260631905867e-09
COAL,GERMANY,1,1,4.41267147875632e-09
COAL,GERMANY,1,2,28.85662096473682
COAL,GERMANY,1,3,28.85662095113509
COAL,GERMANY,1,4,28.85662097885345
COAL,GERMANY,1,5,6.519575616907081e-07
COAL,GERMANY,1,6,28.8566209244677
COAL,GERMANY,1,7,28.85662097993116
